121944	B. Schweinsteiger	Germany
116494	C. Carrasso	France
110677	Moyá	Spain
54050	W. Rooney	England
53612	P. Mertesacker	Germany
49370	T. Motta	Italy
49369	Fernando Torres	Spain
9676	S. Eto'o	Cameroon
231677	M. Rashford	England
223848	S. Milinković-Savić	Serbia
216393	Y. Tielemans	Belgium
215792	Jemerson	Brazil
213296	N. Bentaleb	Algeria
212831	Alisson	Brazil
212462	Alex Telles	Brazil
212194	J. Brandt	Germany
211748	K. Demirbay	Germany
211320	D. Rugani	Italy
210617	Samu Castillejo	Spain
210406	P. Zieliński	Poland
210243	Ricardo Pereira	Portugal
210035	Grimaldo	Spain
209297	Fred	Brazil
208334	J. Hector	Germany
208333	E. Can	Germany
207993	S. Kolašinac	Bosnia Herzegovina
206585	Arrizabalaga	Spain
206467	A. Pléa	France
206413	T. Stepanenko	Ukraine
206273	O. Shatov	Russia
205976	Leo Baptistao	Brazil
205362	M. Nastasić	Serbia
205192	Denis Suárez	Spain
204529	M. Batshuayi	Belgium
204082	J. Brooks	United States
203888	Eric Botteghin	Brazil
203775	L. Karius	Germany
203486	T. Hazard	Belgium
203280	V. Germain	France
201510	L. Kurzawa	France
200647	J. Iličić	Slovenia
200610	K. Volland	Germany
199914	Allan	Brazil
199827	P. Hernández	Chile
199434	D. Tadić	Serbia
199110	L. Muriel	Colombia
198950	Pablo Sarabia	Spain
198784	A. Oxlade-Chamberlain	England
198118	J. Guilavogui	France
196934	O. Özyakup	Turkey
195861	Y. Rakitskyi	Ukraine
194879	Sergi Enrich	Spain
194404	Neto	Brazil
194229	Hugo Mallo	Spain
193886	D. Didavi	Germany
193361	R. Soriano	Italy
193130	A. Schürrle	Germany
193116	M. Gonalons	France
193061	R. Pereyra	Argentina
192641	K. Vogt	Germany
192492	F. Orellana	Chile
191687	Maicon	Brazil
190972	E. Salvio	Argentina
190815	D. Blind	Netherlands
190813	S. El Shaarawy	Italy
190717	M. Antonio	England
190264	Iago Falqué	Spain
189250	S. Rondón	Venezuela
189156	Daniel Carriço	Portugal
188802	M. Schmelzer	Germany
188253	J. McCarthy	Republic of Ireland
187735	A. Dzagoev	Russia
187688	Ganso	Brazil
187491	F. Smolov	Russia
186146	D. Welbeck	England
185221	Luiz Gustavo	Brazil
185132	Mikel San José	Spain
184392	M. Darmian	Italy
184190	R. Thomas	France
183909	I. Traoré	Guinea
182002	Sidnei	Brazil
178416	J. Lens	Netherlands
178311	Eder	Italy
177644	Kiko Casilla	Spain
177604	Nacho Monreal	Spain
177458	S. Bender	Germany
176930	M. Díaz	Chile
176915	A. Fernández	Argentina
176733	M. Berg	Sweden
176376	I. Piatti	Argentina
176104	V. Birsa	Slovenia
175379	Pedro León	Spain
173909	K. Boateng	Ghana
173521	Marcano	Spain
173432	H. Moreno	Mexico
173373	S. Romero	Argentina
173221	A. Candreva	Italy
173208	D. Criscito	Italy
172522	D. Wass	Denmark
172316	Coke	Spain
171897	A. Guardado	Mexico
170370	J. dos Santos	Mexico
170368	E. Lamela	Argentina
169705	R. Bertrand	England
169195	Renato Augusto	Brazil
168530	Jardel	Brazil
167553	V. Denisov	Uzbekistan
167514	D. Basta	Serbia
165536	G. Cabral	Argentina
165526	G. Paletta	Italy
164859	T. Walcott	England
164835	L. Fabiański	Poland
163155	B. Foster	England
162369	V. Ibišević	Bosnia Herzegovina
